source,target,weight
AHALEB02,TINFED,0.8999999761581421
AHALEB02,WUBHEI,0.8999999761581421
AHEBAS,HOWSAP,1.0
AHEBAS,HOWRUI,1.0
AHEMEG,BAHGUN02,1.0
AHEMEG,BAHGUN,1.0
AHEMEG,QERZUI01,1.0
AHEMEG,BUXCAZ,0.8999999761581421
AHEQAH,QIYDIN,0.8999999761581421
AHEQAH,QIYDIN01,0.8999999761581421
AHEQAH,CUSXIY,0.8999999761581421
AHETAK,VEDGES,1.0
AHETAK,YIGGEB,1.0
AHIJOQ01,SOHYEV,0.8999999761581421
AHIYOH,MINFOH,1.0
AHIYOH,SUZXES,1.0
AHIYOH,NAXSUB,1.0
AHIYOH,YAJMUU,1.0
AHIYOH,MEGPAR,0.8999999761581421
AHIYUN,SUZXES,1.0
AHIYUN,NAXSUB,1.0
AHIYUN,YAJMUU,1.0
AHIYUN,MEGPAR,0.8999999761581421
AHOBAB,WIWDEN,0.8999999761581421
AHOBAB,RUPZIM,0.8999999761581421
AHOKIR01,BECRUX04,0.8999999761581421
AHONEQ,OPENUT,1.0
AHONEQ,KAHWOG,1.0
AHONEQ,UHISEK,1.0
AHONEQ,LEPLAV,1.0
AHONIU,OQOCAA,0.8999999761581421
AJIJEI,NEBTIA,0.8999999761581421
AJIJEI,QULMIU,0.8999999761581421
AKOXIJ,UFATEA,1.0
AKUHOD03,POPMUE,0.8999999761581421
AKUHOD03,XUBJAF,0.8999999761581421
ALATAK,OWITEU,0.8999999761581421
ALATAK,TIVWUR,0.8999999761581421
ALEQIT,LOBQAV01,1.0
ALEQIT,LARYOU,1.0
ALEQIT,ZEDWAI,1.0
ALEQIT,BOJYIK,1.0
ALEQIT,BOJYIK01,1.0
ALEQIT,VOXKIE,1.0
ALICEE,KELJER,1.0
ALICII,KELJER,1.0
ALICII,QEJZUB,1.0
ALICII,LETDIY,1.0
ALICII,KELJAN,1.0
ALIQUH,ISAQAV,1.0
ALIQUH,ALIRAO,1.0
